MAC:f8:17:2d:9c:b4:69;;;;
Date;Temperature( ? );Humidity( % );DewPoint( ? );VPD( kPa )
09/16/2025 08:00;23,4;58,2;14,71;1,2
09/16/2025 09:00;23,6;58,4;14,95;1,21
09/16/2025 10:00;23,7;58,6;15,1;1,21
09/16/2025 11:00;23,9;58,6;15,28;1,23
09/16/2025 12:00;24,2;58;15,4;1,27
09/16/2025 13:00;24,2;57,6;15,3;1,28
09/16/2025 14:00;24,2;57,4;15,24;1,29
09/16/2025 15:00;24,4;56,5;15,18;1,33
09/16/2025 16:00;24,4;56,7;15,24;1,32
09/16/2025 17:00;24,9;55;15,23;1,42
09/16/2025 18:00;24,6;54,7;14,86;1,4
09/16/2025 19:00;24,6;55,7;15,15;1,37
09/16/2025 20:00;24,7;56,3;15,41;1,36
09/16/2025 21:00;25,1;55,5;15,55;1,42
09/16/2025 22:00;25,2;54,6;15,39;1,46
09/16/2025 23:00;25,5;53,5;15,35;1,52
09/17/2025 00:00;24,8;53,5;14,7;1,46
09/17/2025 01:00;24,5;54,5;14,71;1,4
09/17/2025 02:00;24,4;54,5;14,62;1,39
09/17/2025 03:00;24,2;54,8;14,52;1,36
09/17/2025 04:00;24,1;55;14,48;1,35
09/17/2025 05:00;24,1;55,7;14,68;1,33
09/17/2025 06:00;23,8;55,8;14,43;1,3
09/17/2025 07:00;22,2;59;13,8;1,1
09/17/2025 08:00;22,8;56,7;13,75;1,2
09/17/2025 09:00;23;55,8;13,69;1,24
09/17/2025 10:00;23,3;54,6;13,63;1,3
09/17/2025 11:00;23,6;52,7;13,36;1,38
09/17/2025 12:00;23,7;51,2;13,01;1,43
09/17/2025 13:00;24,2;44,7;11,4;1,67
09/17/2025 14:00;24,7;42,5;11,09;1,79
09/17/2025 15:00;25;40,1;10,49;1,9
09/17/2025 16:00;25,2;36,4;9,22;2,04
09/17/2025 17:00;25,4;37,4;9,8;2,03
09/17/2025 18:00;25,4;39,5;10,62;1,96
09/17/2025 19:00;25,1;44,2;12,05;1,78
09/17/2025 20:00;24,9;46,9;12,77;1,67
09/17/2025 21:00;24,9;49;13,44;1,61
09/17/2025 22:00;23,9;53,1;13,76;1,39
09/17/2025 23:00;23,6;53,3;13,54;1,36
09/18/2025 00:00;23,4;53,6;13,44;1,34
09/18/2025 01:00;23,7;53,1;13,57;1,37
09/18/2025 02:00;23,8;53,1;13,66;1,38
09/18/2025 03:00;23,8;53,4;13,75;1,37
09/18/2025 04:00;23,8;53,9;13,89;1,36
09/18/2025 05:00;23,7;53,9;13,8;1,35
09/18/2025 06:00;23,7;52,5;13,4;1,39
09/18/2025 07:00;23,6;51,7;13,07;1,41
09/18/2025 08:00;23,5;51,6;12,95;1,4
09/18/2025 09:00;23,3;52,7;13,09;1,35
09/18/2025 10:00;23,5;51,2;12,83;1,41
09/18/2025 11:00;23,5;48,7;12,07;1,49
09/18/2025 12:00;23,9;47,6;12,08;1,55
09/18/2025 13:00;24,3;44,9;11,56;1,67
09/18/2025 14:00;25,1;42,4;11,42;1,84
09/18/2025 15:00;25,2;39,9;10,59;1,93
09/18/2025 16:00;25,1;39,8;10,46;1,92
09/18/2025 17:00;24,9;40;10,36;1,89
09/18/2025 18:00;24,7;43,2;11,34;1,77
09/18/2025 19:00;25,2;44,1;12,1;1,79
09/18/2025 20:00;25,2;48,6;13,59;1,65
09/18/2025 21:00;24,4;52,6;14,07;1,45
09/18/2025 22:00;23,7;53,9;13,8;1,35
09/18/2025 23:00;24;52,9;13,79;1,41
09/19/2025 00:00;24;52,7;13,73;1,41
09/19/2025 01:00;24,1;52,7;13,82;1,42
09/19/2025 02:00;24,1;52,7;13,82;1,42
09/19/2025 03:00;24,1;52,8;13,85;1,42
09/19/2025 04:00;24;53;13,82;1,4
09/19/2025 05:00;23,9;53;13,73;1,39
09/19/2025 06:00;23,9;53,2;13,79;1,39
09/19/2025 07:00;21,9;56,9;12,96;1,13
09/19/2025 08:00;22;58,2;13,4;1,11
09/19/2025 09:00;22,4;59,9;14,22;1,09
09/19/2025 10:00;23,5;57,2;14,53;1,24
09/19/2025 11:00;24;56,8;14,89;1,29
09/19/2025 12:00;24,6;56,5;15,37;1,35
09/19/2025 13:00;25,7;52,1;15,12;1,58
09/19/2025 14:00;28,1;45,9;15,34;2,06
09/19/2025 15:00;27,6;45,1;14,62;2,03
09/19/2025 16:00;27,2;36,3;10,94;2,3
09/19/2025 17:00;26,5;40,7;12,05;2,05
09/19/2025 18:00;25,8;43,5;12,43;1,88
09/19/2025 19:00;25,6;44;12,43;1,84
09/19/2025 20:00;25,9;43;12,35;1,9
09/19/2025 21:00;25,9;42,8;12,28;1,91
09/19/2025 22:00;26,7;43;13,07;2
09/19/2025 23:00;27;43,1;13,37;2,03
09/20/2025 00:00;26,2;51,9;15,52;1,64
09/20/2025 01:00;26;53,1;15,7;1,58
09/20/2025 02:00;25,7;54,6;15,85;1,5
09/20/2025 03:00;25,6;55;15,88;1,48
09/20/2025 04:00;25,5;55,1;15,81;1,47
09/20/2025 05:00;25,4;55,6;15,86;1,44
09/20/2025 06:00;25,3;55,9;15,85;1,42
09/20/2025 07:00;25,4;56,4;16,08;1,41
09/20/2025 08:00;25,3;56;15,88;1,42
09/20/2025 09:00;25,4;54,6;15,58;1,47
09/20/2025 10:00;25,4;54,1;15,43;1,49
09/20/2025 11:00;25,7;53,6;15,57;1,53
09/20/2025 12:00;25,9;51,7;15,19;1,61
09/20/2025 13:00;26,7;46,3;14,21;1,88
09/20/2025 14:00;27,2;43,7;13,77;2,03
09/20/2025 15:00;27,6;42,3;13,63;2,13
09/20/2025 16:00;28;41,3;13,62;2,22
09/20/2025 17:00;27,6;42,6;13,73;2,12
09/20/2025 18:00;27,1;44,5;13,96;1,99
09/20/2025 19:00;27,4;45,8;14,67;1,98
09/20/2025 20:00;27,4;46,9;15,04;1,94
09/20/2025 21:00;27,6;46,4;15,06;1,98
09/20/2025 22:00;27,3;47,6;15,18;1,9
09/20/2025 23:00;27,2;48,6;15,41;1,85
09/21/2025 00:00;27;48,8;15,3;1,83
09/21/2025 01:00;26,9;49;15,27;1,81
09/21/2025 02:00;26,8;49,1;15,21;1,79
09/21/2025 03:00;26,7;49,6;15,28;1,77
09/21/2025 04:00;26,6;50,7;15,53;1,72
09/21/2025 05:00;26,6;51,3;15,71;1,7
09/21/2025 06:00;26,4;51,5;15,59;1,67
09/21/2025 07:00;26,4;51,7;15,65;1,66
09/21/2025 08:00;26,5;52,2;15,89;1,65
09/21/2025 09:00;26,9;50;15,58;1,77
09/21/2025 10:00;28,9;43,3;15,15;2,26
09/21/2025 11:00;28,5;46,9;16,04;2,07
09/21/2025 12:00;28,6;47;16,17;2,07
09/21/2025 13:00;29,1;45,9;16,25;2,18
09/21/2025 14:00;28,4;47,8;16,25;2,02
09/21/2025 15:00;28,6;47,1;16,2;2,07
09/21/2025 19:00;29,4;47,9;17,19;2,14
09/21/2025 20:00;28,9;49,9;17,38;2
09/21/2025 21:00;28,9;48,7;17;2,04
09/21/2025 22:00;28,6;50,2;17,2;1,95
09/21/2025 23:00;28,4;50,5;17,12;1,92
09/22/2025 00:00;28,3;50,4;16,99;1,91
09/22/2025 01:00;28,2;50,1;16,81;1,91
09/22/2025 02:00;28,2;50,8;17,03;1,88
09/22/2025 03:00;28,2;49,7;16,68;1,92
09/22/2025 04:00;28,2;49,7;16,68;1,92
09/22/2025 05:00;28,2;52,9;17,67;1,8
09/22/2025 06:00;28,1;55,2;18,25;1,7
09/22/2025 07:00;27,3;63,8;19,83;1,31
09/22/2025 08:00;27,7;64;20,26;1,34
09/22/2025 09:00;26,5;68,7;20,27;1,08
09/22/2025 10:00;26;70,7;20,25;0,98
09/22/2025 11:00;26,4;68,1;20,03;1,1
09/22/2025 12:00;26,6;67,5;20,08;1,13
09/22/2025 13:00;27;68,3;20,65;1,13
09/22/2025 14:00;26,7;67;20,05;1,16
09/22/2025 15:00;25,6;65,5;18,64;1,13
09/22/2025 16:00;25,7;61,1;17,63;1,28
09/22/2025 17:00;25;63,7;17,63;1,15
09/22/2025 18:00;24,7;66,1;17,94;1,05
09/22/2025 19:00;25,5;62,5;17,8;1,22
09/22/2025 20:00;25,5;64,8;18,38;1,15
09/22/2025 21:00;25,7;63,7;18,29;1,2
09/22/2025 22:00;26,2;62,5;18,46;1,28
09/22/2025 23:00;26,5;61,1;18,38;1,35
09/23/2025 00:00;26,1;61,6;18,13;1,3
09/23/2025 01:00;25,8;62,1;17,98;1,26
09/23/2025 02:00;25,7;62,2;17,91;1,25
09/23/2025 03:00;25,6;62,3;17,84;1,24
09/23/2025 04:00;25,6;62,2;17,82;1,24
09/23/2025 05:00;25,4;62;17,58;1,23
09/23/2025 06:00;25,9;60,7;17,71;1,31
09/23/2025 07:00;24,6;63,1;17,1;1,14
09/23/2025 08:00;23,7;61,3;15,8;1,13
09/23/2025 09:00;23,3;61,6;15,5;1,1
09/23/2025 10:00;23,9;59,5;15,52;1,2
09/23/2025 11:00;24,9;55,4;15,34;1,4
09/23/2025 12:00;25,5;50,7;14,52;1,61
09/23/2025 13:00;25,4;48,3;13,68;1,68
09/23/2025 14:00;25,5;48,8;13,93;1,67
09/23/2025 15:00;25,5;47,9;13,64;1,7
09/23/2025 16:00;25,6;47,2;13,5;1,73
09/23/2025 17:00;25,8;47,3;13,72;1,75
09/23/2025 18:00;25,7;48,7;14,08;1,69
09/23/2025 19:00;25,6;50,7;14,61;1,62
09/23/2025 20:00;25,2;50,7;14,24;1,58
09/23/2025 21:00;23,9;53,4;13,84;1,38
09/23/2025 22:00;25,4;51,9;14,79;1,56
09/23/2025 23:00;25,7;50,2;14,55;1,64
09/24/2025 00:00;24,9;51,4;14,18;1,53
09/24/2025 01:00;24,6;52,1;14,11;1,48
09/24/2025 02:00;24,5;52,5;14,14;1,46
09/24/2025 03:00;24,4;52,7;14,1;1,45
09/24/2025 04:00;24,4;52,7;14,1;1,45
09/24/2025 05:00;24,2;52,5;13,86;1,43
09/24/2025 06:00;24,1;52,1;13,65;1,44
09/24/2025 07:00;22,7;54,6;13,07;1,25
09/24/2025 08:00;22,1;58,7;13,63;1,1
09/24/2025 09:00;22,2;62,1;14,59;1,01
09/24/2025 10:00;22,8;61,7;15,05;1,06
09/24/2025 11:00;23,4;60,8;15,39;1,13
09/24/2025 12:00;23,8;60,5;15,69;1,16
09/24/2025 13:00;24,4;59,9;16,1;1,23
09/24/2025 14:00;24,5;58,7;15,87;1,27
09/24/2025 15:00;24,7;56,6;15,49;1,35
09/24/2025 16:00;24,7;55,8;15,27;1,38
09/24/2025 17:00;24,5;55,8;15,08;1,36
09/24/2025 18:00;24,2;55,3;14,66;1,35
09/24/2025 19:00;23,5;56,1;14,23;1,27
09/24/2025 20:00;23,3;56,6;14,19;1,24
09/24/2025 21:00;23,7;54,5;13,97;1,33
09/24/2025 22:00;23,7;54,1;13,86;1,35
09/24/2025 23:00;23,4;54,1;13,58;1,32
09/25/2025 00:00;23,3;54;13,46;1,32
09/25/2025 01:00;23,4;53,6;13,44;1,34
09/25/2025 02:00;23,4;53,4;13,38;1,34
09/25/2025 03:00;23,2;53,1;13,11;1,33
09/25/2025 04:00;23,2;53;13,08;1,34
09/25/2025 05:00;23,2;52,9;13,05;1,34
09/25/2025 06:00;23;53,2;12,95;1,31
09/25/2025 07:00;22,9;53,5;12,95;1,3
09/25/2025 08:00;21,7;55,3;12,34;1,16
09/25/2025 09:00;22,2;54;12,44;1,23
09/25/2025 10:00;23;53,4;13,01;1,31
09/25/2025 11:00;22,9;53,2;12,86;1,31
09/25/2025 12:00;23;53,4;13,01;1,31
09/25/2025 13:00;23,5;52,2;13,12;1,38
09/25/2025 14:00;23,9;51,7;13,35;1,43
09/25/2025 15:00;24;50,5;13,08;1,48
09/25/2025 16:00;23,7;51,5;13,1;1,42
09/25/2025 17:00;23,2;51,2;12,55;1,39
09/25/2025 18:00;22,7;52,6;12,5;1,31
09/25/2025 19:00;23;52,7;12,81;1,33
09/25/2025 20:00;23,1;50,1;12,13;1,41
09/25/2025 21:00;21,3;49,9;10,42;1,27
09/25/2025 22:00;22,1;49,2;10,94;1,35
09/25/2025 23:00;22,2;48,8;10,91;1,37
09/26/2025 00:00;22,2;49,9;11,24;1,34
09/26/2025 01:00;22,3;50;11,37;1,35
09/26/2025 02:00;22,3;50,3;11,46;1,34
09/26/2025 03:00;22,2;50,3;11,36;1,33
09/26/2025 04:00;22,2;50,6;11,45;1,32
09/26/2025 05:00;22;51,2;11,45;1,29
09/26/2025 06:00;22;52,2;11,74;1,26
09/26/2025 07:00;20,7;54,7;11,25;1,11
09/26/2025 08:00;21;54,3;11,41;1,14
09/26/2025 09:00;21,6;52,5;11,46;1,23
09/26/2025 10:00;21,9;51,5;11,44;1,27
09/26/2025 11:00;22;48,3;10,57;1,37
09/26/2025 12:00;22,6;47;10,71;1,45
09/26/2025 13:00;22,8;47,5;11,05;1,46
09/26/2025 14:00;23;48;11,39;1,46
09/26/2025 15:00;23,2;48,4;11,7;1,47
09/26/2025 16:00;23,8;45,2;11,21;1,62
09/26/2025 17:00;23,7;45,3;11,15;1,6
09/26/2025 18:00;23,3;46,2;11,09;1,54
09/26/2025 19:00;23,2;47,9;11,54;1,48
09/26/2025 20:00;22,9;49,2;11,67;1,42
09/26/2025 21:00;22,6;49,5;11,49;1,38
09/26/2025 22:00;22,2;49,7;11,18;1,35
09/26/2025 23:00;22,2;50,3;11,36;1,33
09/27/2025 00:00;22,4;50,1;11,49;1,35
09/27/2025 01:00;22,4;49,8;11,4;1,36
09/27/2025 02:00;22,4;50;11,46;1,35
09/27/2025 03:00;22,2;50,2;11,33;1,33
09/27/2025 04:00;22,2;50,3;11,36;1,33
09/27/2025 05:00;22,2;50,3;11,36;1,33
09/27/2025 06:00;22,1;50,3;11,27;1,32
09/27/2025 07:00;22;50,4;11,21;1,31
09/27/2025 08:00;19,9;55,1;10,61;1,04
09/27/2025 09:00;21,1;53,9;11,39;1,15
09/27/2025 10:00;21,6;52,1;11,34;1,24
09/27/2025 11:00;22;51,4;11,51;1,28
09/27/2025 12:00;22,5;50,7;11,76;1,34
09/27/2025 13:00;22,7;49,9;11,7;1,38
09/27/2025 14:00;23;49,6;11,89;1,42
09/27/2025 15:00;23,2;47,6;11,45;1,49
09/27/2025 16:00;23,6;43,9;10,59;1,63
09/27/2025 17:00;23,4;44,3;10,54;1,6
09/27/2025 18:00;23,2;45,8;10,86;1,54
09/27/2025 19:00;23,1;46,7;11,07;1,51
09/27/2025 20:00;23,5;45,5;11,04;1,58
09/27/2025 21:00;23,5;49,3;12,25;1,47
09/27/2025 22:00;23,4;53,2;13,32;1,35
09/27/2025 23:00;22,8;55,5;13,42;1,24
09/28/2025 00:00;22,7;56;13,46;1,21
09/28/2025 01:00;23;55,8;13,69;1,24
09/28/2025 02:00;23;55,8;13,69;1,24
09/28/2025 03:00;23;55,6;13,63;1,25
09/28/2025 04:00;23;55,3;13,55;1,26
09/28/2025 05:00;22,9;55,1;13,4;1,25
09/28/2025 06:00;22,8;54,9;13,25;1,25
09/28/2025 07:00;22,7;54,7;13,1;1,25
09/28/2025 08:00;22,7;55,2;13,24;1,24
09/28/2025 09:00;22,8;53,8;12,94;1,28
09/28/2025 10:00;23,1;46,3;10,94;1,52
09/28/2025 11:00;24,8;44;11,71;1,75
09/28/2025 12:00;23,9;45,6;11,43;1,61
09/28/2025 13:00;24,2;41,1;10,14;1,78
09/28/2025 14:00;24,2;39;9,36;1,84
09/28/2025 15:00;24,5;39,1;9,66;1,87
09/28/2025 16:00;25,6;38,7;10,49;2,01
09/28/2025 17:00;25,4;40,6;11,03;1,93
09/28/2025 18:00;25,4;40,9;11,14;1,92
09/28/2025 19:00;25;45,7;12,46;1,72
09/28/2025 20:00;25;49,4;13,66;1,6
09/28/2025 21:00;25;50;13,84;1,58
09/28/2025 22:00;25,1;51,3;14,33;1,55
09/28/2025 23:00;25,5;51,6;14,79;1,58
09/29/2025 00:00;25,6;51,7;14,91;1,59
09/29/2025 01:00;25,2;52,9;14,9;1,51
09/29/2025 02:00;24,9;53,6;14,83;1,46
09/29/2025 03:00;24,9;54,1;14,97;1,45
09/29/2025 04:00;24,8;54,7;15,05;1,42
09/29/2025 05:00;24,7;55,3;15,13;1,39
09/29/2025 06:00;24,7;55,7;15,24;1,38
09/29/2025 07:00;23,4;59,7;15,11;1,16
09/29/2025 08:00;23,7;59,8;15,41;1,18
09/29/2025 09:00;23,9;60,4;15,76;1,17
09/29/2025 10:00;24,5;57,5;15,55;1,31
09/29/2025 11:00;24,7;47,7;12,85;1,63
09/29/2025 12:00;25,3;41,9;11,42;1,87
09/29/2025 13:00;25,5;40,5;11,08;1,94
09/29/2025 14:00;26,7;38,2;11,27;2,16
09/29/2025 15:00;27,2;38,1;11,67;2,23
